e2e3
b7b6
d1f3
e7e5
f3a8
g7g5
a8b8
g5g4
b8a7
g8e7
f1e2
c7c5
e1f1
d7d6
e2b5
c8d7
b5d7
d8d7
a7b6
d7f5
b6d6
f5f3
g2f3
e7c8
d6e5
e8d8
e5h8
c8e7
h8f8
d8d7
f8f7
h7h5
f3g4
d7c6
g4h5
e7d5
f7e6
c6b5
e6d5
b5a5
d5b7
c5c4
c2c3
a5a4
b7b4
