e2e4
e7e6
d2d3
b8c6
g2g4
g8f6
g1h3
f8b4
b1d2
e8e7
c2c3
b4c3
d1e2
c3d2
c1d2
c6d4
d2h6
d4e2
h6c1
e2d4
c1h6
d4c2
e1e2
g7h6
b2b3
c2a1
a2a3
a1b3
a3a4
f6g4
f2f4
g4f6
h1g1
d8e8
e2e3
b3c5
g1g8
h8g8
f1e2
g8g2
e3d4
g2h2
d4e3
h2h3
e3f2
c5d3
f2g2
d3f4
g2f2
f6e4
f2f1
h3h1
