f2f4
f7f6
h2h4
e7e6
g2g4
g8h6
g1h3
h6g4
c2c3
f8d6
b2b4
c7c6
b1a3
b7b5
a3b5
c6b5
d1b3
d8c7
b3e6
d7e6
h3g5
f6g5
f4g5
d6b4
c3b4
c8b7
f1h3
b7h1
h3g4
c7g3
e1d1
g3g4
a2a3
g4g1
d1c2
e8d7
d2d4
h7h5
g5h6
g7h6
c1h6
g1a1
d4d5
h8h6
d5e6
h6e6
c2d2
a1a3
d2e1
a3b4
e1d1
b4c3
e2e4
h1f3
