b2b4
d7d6
h2h4
c8g4
h1h3
g8h6
g2g3
a7a6
h3h2
d8d7
b4b5
a8a7
h2h1
d7b5
f1g2
g4d7
g1h3
h6g8
g2c6
a7a8
h4h5
b5a4
h1f1
a4d4
c1b2
d4h4
b2c1
h4h5
c6e4
b8c6
e2e3
h5g6
f1g1
g6f5
d2d3
h7h5
a2a4
f5c5
e4f5
a8b8
d1d2
g8f6
c2c3
f6d5
c1a3
a6a5
g1f1
h8g8
f1h1
c6a7
h3f4
g7g5
f5g4
g5f4
h1h3
a7b5
g4d7
e8d7
d2c2
b8d8
g3f4
d5e3
f4f5
h5h4
b1d2
d8c8
c2b2
b5a3
h3h1
d7c6
b2b7
c6d7
b7a7
e7e6
h1h3
c8e8
f5f6
f8g7
a7c5
e3f1
c5g5
g8f8
g5g7
f8h8
a1b1
h8f8
g7g4
e8a8
h3g3
c7c5
b1b4
a5b4
d2b3
b4c3
g4b4
d7d8
g3g7
f8g8
g7g8
d8c7
g8g3
a8e8
b4g4
c7c8
d3d4
e8f8
b3a1
a3c2
e1f1
h4g3
a1b3
g3f2
f1f2
f8g8
f2f1
c5d4
g4f5
c8d7
f5b5
d7c7
f1f2
g8f8
b5c4
c7b7
b3a1
d4d3
c4c3
e6e5
c3e5
d3d2
e5a5
f8g8
a5a6
b7c7
f2e2
g8d8
a6c4
c7b6
e2f2
d8b8
c4g4
b8f8
a1b3
f8c8
g4g5
c2e3
f2e2
c8d8
g5h4
b6a6
h4f4
d6d5
f4h4
d5d4
h4e4
d8b8
e4h7
b8e8
e2f2
e8h8
h7h6
h8e8
h6h4
e3d1
f2g2
e8c8
b3d4
a6b6
h4h6
c8d8
g2h1
d8c8
d4c2
c8c6
h6e3
b6a5
e3g1
c6f6
g1g2
f6b6
g2d2
a5a4
c2d4
d1e3
d2b4
a4b4
d4c6
b4c3
c6b8
b6b1
h1h2
e3d1
b8a6
f7f5
a6b4
b1b4
h2g2
b4h4
g2f3
h4h8
f3g3
f5f4
g3f3
h8h7
f3g2
h7h6
g2g1
h6h5
g1f1
c3d3
f1e1
h5d5
e1f1
d5a5
f1e1
a5a6
e1f1
a6c6
f1g1
d3e4
g1f1
c6e6
f1g2
e6e5
g2h3
e5c5
h3h4
c5c7
h4h5
c7c1
h5h6
c1c5
h6h7
e4e5
h7g8
c5d5
g8f8
e5f6
f8g8
f4f3
g8f8
d1b2
f8g8
d5d6
g8f8
f6g5
f8g8
f3f2
g8f8
b2d1
f8g8
d6g6
g8h7
f2f1q
h7h8
g5h6
