b2b4
e7e5
c1b2
e5e4
a2a3
h7h6
a3a4
f8b4
h2h3
g8f6
e2e3
b8c6
b1a3
e8g8
a3c4
d7d5
g2g4
d5c4
g1f3
e4f3
h1h2
f6g4
b2d4
g4h2
a1c1
h2f1
d4a7
a8a7
e3e4
b4d2
d1d2
d8d2
e1f1
d2c1
