h2h4
g8h6
g2g3
h6f5
e2e4
f5d6
a2a3
d6e4
a1a2
e4c5
c2c4
b8c6
b2b4
c5e6
f2f3
d7d6
h1h2
c6d4
f3f4
d4f5
d2d3
f5g3
h2e2
d6d5
b1c3
g3e2
a2b2
e2c3
h4h5
c3d1
e1e2
d1b2
f1g2
d5c4
c1d2
d8d3
e2f2
d3d2
g1e2
e6f4
b4b5
d2e2
f2g3
e2g4
g3h2
g4g2
