b2b4
e7e5
h2h4
b8c6
g2g3
f8b4
h4h5
g8f6
c1b2
d7d6
h5h6
f6d7
f2f4
d7b8
b2c1
e8e7
f1g2
h8e8
f4e5
c6e5
c1a3
c8h3
g2d5
e5g4
d5b7
