d2d3
h7h5
c1g5
g8h6
e2e4
f7f5
d1h5
g7g6
h5g6
h6f7
e4f5
a7a5
d3d4
h8h7
f1c4
c7c6
c4b3
b8a6
g5e3
d7d5
g6h7
c8f5
h7f5
c6c5
b3d5
c5c4
d5f7
