d2d4
e7e5
d4e5
d7d6
e5d6
c7d6
b1c3
g8f6
e2e4
f8e7
c3d5
b7b5
d5f6
e7f6
d1d5
h7h5
d5a8
c8g4
f1b5
b8c6
b5c6
e8f8
a8d8
f6d8
g1e2
a7a5
e2d4
d8e7
c1f4
e7h4
f4d6
h4e7
d6f4
e7f6
e4e5
h5h4
e5f6
g4e2
f6g7
f8g7
e1e2
g7g8
a1d1
f7f5
d4f5
h8h7
f5h6
g8f8
d1d8
f8g7
d8d7
g7h8
f4e5
h7g7
d7g7
a5a4
g7f7
