b1a3
g8f6
e2e4
f6e4
d1e2
d7d5
a1b1
b8c6
e2b5
e7e5
f1e2
f8c5
b2b3
a7a6
f2f3
a6b5
e2d3
d8h4
e1f1
h4f2
