c2c3
b8c6
e2e3
e7e5
h2h4
f8e7
d1c2
d7d5
f2f4
e7h4
g2g3
h4g3
e1d1
e5f4
c2a4
c8g4
g1f3
g4f3
f1e2
f3h1
b2b3
f4f3
a4a3
f3e2
d1e2
d8f6
c1b2
h1f3
e2d3
f3e4
d3e2
f6f3
