h2h4
c7c5
h4h5
g8h6
h1h2
b7b6
c2c3
c8a6
b2b3
a6c8
b3b4
h6g8
b4c5
b8c6
c5b6
c8b7
b6a7
a8c8
a7a8q
d7d6
a8c8
c6b8
c8b7
f7f6
b7e7
d8e7
c3c4
e7e4
h2h1
e4d4
g2g4
d4b2
c1b2
e8f7
b2f6
b8a6
f6g7
g8e7
g7f8
e7c6
f8d6
c6d8
d6g3
f7f8
f2f4
d8e6
a2a3
f8g7
g1h3
g7g8
d1a4
e6f8
a4a6
h7h6
a6h6
f8e6
h6e6
g8g7
d2d3
g7h7
e2e4
h8g8
e6g8
h7h6
h1g1
