h2h4
a7a6
b2b3
a6a5
c2c3
e7e5
g1h3
a5a4
h1h2
a4b3
d2d4
b3b2
e2e4
b7b6
f1e2
b6b5
h4h5
b5b4
e2d3
b4b3
h3g5
c7c6
c1e3
c6c5
e1f1
b2a1q
d3b5
b3a2
d1d3
c5c4
e3c1
f7f6
d3d2
f6f5
f1e1
f5f4
b5a4
f4f3
d2b2
g7g6
h2h3
h7h6
a4b3
d7d6
b2a3
d6d5
b3c4
a2b1q
a3b2
f3g2
h3d3
g2g1q
e1e2
d5e4
c4a6
e4e3
b2b5
b8d7
d3e3
e5e4
b5a5
g6h5
c1b2
h5h4
f2f3
h4h3
a5a2
b1d1
