b2b3
b8c6
c2c3
b7b5
a2a3
d7d5
d2d3
c6e5
c1g5
c8a6
e2e3
a6c8
g1f3
e5c6
f3e5
g7g6
e5c6
g8f6
c6d8
h8g8
d8f7
e8f7
f2f3
c7c6
g2g3
c8a6
h2h3
h7h6
g5f6
a8b8
f6d4
b8e8
d4a7
e7e6
a7c5
g8h8
c5f8
f7f8
d3d4
e8b8
a3a4
b5b4
f1a6
b8d8
c3b4
h8g8
e3e4
f8e8
e4d5
d8d6
d5c6
e8e7
h3h4
e7e8
f3f4
e6e5
f4e5
d6d8
a4a5
d8d5
b4b5
g8g7
b3b4
d5d6
e5d6
h6h5
b5b6
g7f7
g3g4
f7c7
b6c7
h5g4
d1g4
e8f8
c7c8q
f8f7
b4b5
f7g7
d4d5
g7h6
h4h5
g6g5
b5b6
h6h7
h5h6
h7g6
b6b7
g6f6
b7b8q
f6f7
c6c7
f7f6
d6d7
f6g6
d7d8q
g6h7
d5d6
h7g6
g4g5
g6h7
a6d3
