Rank, Name, Score
1, bbd, 162
2, chess-engine, 156
3, magnuscarlsenmogger, 141
4, john-chess, 136
5, botty-fischer, 127
6, pawnstar, 125
7, logic-and-proofs, 118
8, o-of-yes, 114
9, lmc-ai, 113
10, sheriff-ai, 107
11, ichesshbot, 99
12, chessmates, 98
13, chesster, 93
14, chess-king, 83
15, chess-engine3, 66
16, chess_project_pelm, 62
17, chessproj, 60
17, rookX, 60
19, en-passant, 51
20, matex, 43
21, omega-knight, 35
22, chessgambit, 31
22, stonkfish, 31
24, crucificad, 24
24, caissa, 24
26, chess-project, 23
27, chess-engine2, 16
28, chess_engine2, 4
