b1c3
e7e6
a1b1
b7b6
b1a1
f8c5
a1b1
d7d5
b1a1
g8e7
a1b1
c5a3
b1a1
e6e5
a1b1
d8d6
b1a1
d6g6
a1b1
e8d7
b1a1
g6g3
a1b1
g3f2
