c2c3
b7b6
d1a4
a7a6
b2b4
b6b5
g2g4
c7c6
d2d3
c6c5
f2f4
c5b4
c3b4
d8b6
a4a6
b6f2
e1d1
h7h6
a6a3
f2e3
b1d2
f7f6
a3a7
e3b6
d3d4
b6a7
d2e4
d7d5
e4f2
a7a5
a2a4
c8f5
c1d2
h6h5
f2e4
e8d7
e2e3
f5e4
b4a5
h8h6
g4g5
e4h1
f1g2
h6h7
d1c1
e7e6
c1b1
d7c7
b1b2
f6f5
b2c1
g7g6
g1h3
f8c5
g2f1
h1g2
c1c2
g8e7
f1d3
c7c6
a1d1
e7g8
d1g1
h7b7
g1h1
c5b6
h1f1
b5a4
d3e2
b7a7
a5b6
g8e7
f1c1
e7g8
c2b1
c6d7
c1c7
d7d8
b1b2
g8f6
c7c4
d5c4
d4d5
g2f3
e3e4
a7a5
d2e3
f3h1
e4f5
h1f3
g5f6
d8e8
e2f1
e8d8
b6b7
a5a7
h3g1
g6g5
e3f2
a4a3
b2a2
b8c6
a2a1
f3g2
d5e6
h5h4
f1d3
g2h1
f2d4
c4d3
a1b1
a3a2
b1b2
a8b8
h2h3
b8b7
b2a1
c6e7
d4e5
g5f4
e5d6
b7b5
d6a3
b5b6
g1e2
b6c6
e2c1
h1g2
a3c5
g2f1
c5f2
a7a8
a1b2
a8a3
f6e7
d8c8
e7e8q
c8c7
f2e1
a3a7
e8a8
c6c2
b2a1
c2c1
a1b2
c1c5
e1a5
c5a5
a8c6
c7d8
e6e7
a7e7
b2a1
e7g7
c6h6
g7g6
h6h5
g6g5
h5e2
g5g2
e2f2
g2g8
f2g2
d3d2
g2g6
g8e8
g6f7
e8e7
f7e7
d8c8
e7h7
a5a8
h7e7
f1h3
e7h7
a8b8
h7h8
c8d7
h8h4
b8b5
h4h6
h3g4
h6h7
d7d6
h7h1
f4f3
f5f6
d6d5
h1h2
g4c8
h2e5
d5c6
e5d6
c6d6
a1a2
b5b4
a2a3
b4b7
f6f7
b7f7
a3b3
d6e6
b3a3
f7f6
a3b4
e6d6
b4a3
d6c7
a3b3
c7d6
b3c3
c8f5
c3c4
d6c6
c4c3
f5e4
c3d4
d2d1q
d4e5
d1d8
e5e4
d8b6
e4e5
b6a5
e5e4
a5e5
e4d3
c6b5
d3c2
e5e1
c2b2
e1a1
b2c2
a1h1
c2b2
h1h6
b2c3
f3f2
c3d3
b5a6
d3e4
f6g6
e4f3
h6e3
f3e3
a6b7
e3f4
g6g1
f4f3
b7a8
f3e2
g1g8
e2e3
g8d8
e3f2
a8a7
f2g2
a7b8
g2g3
d8d1
g3h4
d1d5
h4g3
d5g5
g3h3
g5b5
h3h4
b5d5
h4g4
d5d8
g4f4
d8d7
f4g5
d7d2
g5g6
d2d4
g6f6
d4b4
f6f7
b4f4
f7g8
f4a4
g8h7
a4e4
h7h6
b8a8
h6h5
e4e8
h5g4
e8e2
g4g3
e2e8
g3h2
e8b8
h2h1
b8f8
h1g1
f8f7
g1h1
a8a7
h1h2
f7f5
h2g2
f5f2
g2f2
