b1c3
g7g5
g1f3
b7b5
c3b5
g8h6
f3g5
h6g8
d2d4
b8a6
c1e3
a6c5
d4c5
c8b7
b5d4
a7a6
a2a4
d7d5
c5d6
h7h6
d6d7
d8d7
g5f7
d7a4
a1a4
a8b8
f7h8
b7e4
a4a6
c7c6
b2b3
e4f5
d4f5
b8b4
a6a8
b4b8
a8b8
