g1h3
d7d5
b2b3
c8h3
e2e3
h3d7
d1g4
d7g4
f1c4
d5c4
b3c4
g4e6
a2a4
e6c4
b1c3
d8d7
a1b1
d7c6
b1b7
c6g2
c3e2
g2h1
e2g1
h1g1
