c2c3
e7e6
b2b4
d8f6
h2h4
f8b4
g1h3
b4a5
c3c4
b8c6
a2a3
f6a1
h3g1
g8f6
d1c2
c6d4
c2b3
d4b3
c4c5
a1b1
f2f3
b3c5
a3a4
b1c1
e1f2
a5d2
h1h3
f6h5
g2g3
d2e3
f2g2
e8g8
h3h2
h5g3
g1h3
g3f1
h4h5
f1h2
g2h2
h7h6
h3f4
e3f4
h2g2
c5a4
g2f2
e6e5
e2e4
c1h1
f2e2
a4c3
e2f2
h1h5
f2f1
h5h2
f1e1
f4e3
f3f4
h6h5
f4f5
c3a2
f5f6
g7g5
e1f1
d7d5
e4d5
e3g1
d5d6
a8b8
d6c7
a2b4
c7b8q
b4c6
b8b7
h2f2
