Rank, Name, Score
1, bbd, 159
2, chess-engine, 147
3, magnuscarlsenmogger, 144
4, logic-and-proofs, 142
5, pawnstar, 139
6, botty-fischer, 138
7, john-chess, 127
8, chesster, 119
9, ichesshbot, 107
10, o-of-yes, 103
11, chess_project_pelm, 84
12, matex, 79
13, chess-king, 78
14, chess-project, 74
14, chess-engine3, 74
14, chess-engine2, 74
17, sheriff-ai, 66
18, en-passant, 64
19, chess_engine2, 50
20, stonkfish, 49
21, chessproj, 45
22, chessmates, 41
23, chessgambit, 37
24, rookX, 34
25, caissa, 30
26, crucificad, 12
27, lmc-ai, 6
28, omega-knight, 0
