b1a3
d7d6
g2g3
c8g4
b2b3
g8h6
g1f3
d8d7
b3b4
g4h5
a1b1
e7e5
f3h4
b8a6
c2c4
d7e7
f2f3
e7f6
d1b3
e8e7
h1g1
h5f3
g3g4
f6h4
g1g3
a6b4
d2d3
f3d5
e2e3
b4c6
a3b5
e5e4
b3c2
d5c4
b5d4
c6b8
e1d1
h6g8
g3f3
g7g5
c2a4
e4f3
d4f5
e7f6
a4a7
b8a6
b1b5
a8d8
c1d2
h4g3
a7a6
f8h6
b5b6
d8f8
b6b3
g3g4
f5d4
g4h3
b3b4
f8d8
b4b6
h3f5
d2a5
d8e8
d4e2
e8d8
a5d2
d8a8
a6b7
a8f8
b7a7
f5g4
d2c1
c4d5
a7a4
f8d8
b6b2
d5c6
e2g1
c6a4
b2c2
d8f8
d3d4
g4g2
c1d2
f8c8
f1e2
a4b5
d2b4
g2h2
d1c1
h2h1
c1b1
h1g1
e2f1
f6e6
b4d2
b5c4
c2c1
g1f1
b1a1
d6d5
d2e1
h6g7
c1d1
c4b5
a2a4
b5c6
a1b1
c6a8
b1c1
e6f5
c1d2
f1f2
d2c3
c7c6
d1d2
f5g6
c3b3
f2g1
e3e4
g1h2
e1g3
c8d8
d2a2
d5e4
a2e2
h2f2
a4a5
d8d5
g3f4
f2d4
f4b8
d4a4
b3a4
g6f5
b8g3
g8e7
e2c2
f5e6
g3e1
e6f6
c2c4
h8d8
e1h4
d5e5
h4f2
d8d3
c4c5
e7g8
c5b5
e5e8
b5b2
d3e3
b2d2
f6e5
d2d4
f7f6
a5a6
e8b8
d4d7
h7h5
d7e7
e5d4
e7b7
d4d3
b7b3
b8b3
f2e1
c6c5
e1a5
h5h4
a5d2
c5c4
d2a5
b3c3
a4b4
g7h6
a5b6
h6g7
b6c7
a8d5
c7d6
c3c2
b4b5
f6f5
b5b4
d3d4
d6e7
h4h3
e7c5
d4e5
c5e3
d5a8
e3c5
a8d5
b4b5
g8e7
c5d6
e5e6
a6a7
c2a2
d6h2
a2a4
h2e5
a4a7
e5a1
g7c3
a1c3
a7a6
c3h8
e4e3
h8f6
h3h2
f6g5
a6b6
b5a5
d5a8
g5e7
b6b2
e7b4
c4c3
b4a3
b2f2
a5a6
e6f6
a3c1
f2e2
a6a7
e2g2
c1e3
g2g5
a7a6
g5g3
e3h6
g3g8
h6f8
f6f7
f8a3
a8d5
a3c1
f7g7
c1d2
f5f4
a6a5
d5a8
a5a4
g7f7
d2f4
a8d5
a4a5
d5b3
f4b8
f7f8
b8f4
g8g4
f4g3
g4g7
a5a6
f8f7
g3f2
b3e6
f2e3
g7g3
a6a5
g3g6
e3f2
g6g3
f2g3
e6f5
a5b5
f5c8
b5c4
c8e6
c4c3
e6b3
c3d4
f7f6
d4c5
f3f2
g3f2
b3a4
c5c4
f6e7
f2e3
e7d8
e3b6
d8e8
b6a5
a4d1
a5d8
d1e2
c4d4
e2b5
d8c7
e8f7
d4e3
b5e2
c7d6
e2h5
e3d3
f7g7
d6b8
g7h6
b8d6
h2h1q
d6e5
h5d1
e5h8
d1f3
h8c3
h1h2
d3d4
h6g5
d4d3
g5g6
c3e1
f3h5
e1c3
h2c2
d3d4
c2a4
d4d5
a4g4
c3b4
g6f5
d5d6
f5g6
d6e7
g4g1
e7d7
g6f6
b4a5
f6f5
a5c7
g1g8
c7f4
g8h8
f4d6
h5e2
d7c7
h8e5
d6e5
e2h5
c7d8
f5g6
d8e8
g6h6
e8e7
h5g6
e5h2
g6d3
e7e8
d3a6
e8d8
a6f1
h2d6
h6g7
d6e5
g7h6
e5b2
f1e2
b2c3
e2a6
d8d7
h6g6
d7d8
g6f7
c3g7
a6e2
g7h8
e2a6
h8c3
a6c8
c3e1
c8b7
e1g3
b7a8
g3h2
a8g2
h2g3
f7g6
g3d6
g6f5
d6c7
f5e4
c7h2
g2h3
h2f4
h3c8
d8e7
e4d5
f4h6
d5c6
h6g5
c6b7
e7d8
c8h3
g5e7
h3c8
e7d6
c8f5
d6c5
f5d3
c5a3
d3e4
a3e7
e4c2
e7a3
c2b1
a3d6
b7a8
d6c7
a8b7
c7h2
b7a8
d8c8
a8a7
c8c7
b1c2
c7d7
c2b1
d7c7
b1c2
c7c8
a7b6
h2c7
b6a7
c7b8
a7b6
b8c7
b6a7
c7h2
a7b6
c8d8
c2e4
h2d6
e4h1
d8c8
h1c6
d6c7
b6b5
