f2f4
d7d5
g1f3
e7e6
e2e3
g8f6
b2b3
f8d6
h1g1
b8d7
h2h3
e6e5
g2g4
e5f4
h3h4
f4e3
c2c4
d7e5
f1g2
e5d3
e1f1
f6e4
h4h5
e4g3
