d2d4
g8f6
g1f3
d7d5
c1f4
f6e4
b1d2
b8c6
e2e3
c8f5
f1b5
e4d2
d1d2
a7a6
b5c6
b7c6
d2c3
a8b8
c3c6
f5d7
c6d5
c7c6
d5c4
b8b2
f3e5
d8a5
e1e2
a5b5
c4b5
a6b5
h1c1
d7f5
a2a4
f5c2
a4b5
c2e4
e2f1
c6c5
c1c5
e8d8
e5f7
d8e8
f7e5
e8d8
d4d5
b2b1
a1b1
e4b1
b5b6
b1d3
e5d3
e7e5
b6b7
f8d6
d3e5
h8f8
c5c8
d8e7
e5c6
e7f7
f4d6
f8c8
b7c8q
f7g6
c6e5
g6g5
d6e7
g5h6
c8h3
