h2h3
b8c6
h1h2
g8f6
e2e4
f6e4
f1d3
e4c5
g1f3
c5d3
e1f1
d3c1
b1a3
c1a2
a3c4
a2b4
h2h1
b4d5
a1a2
d5f6
g2g3
c6b4
a2a1
b4d5
f1e1
f6e4
c4a3
e4d6
f3e5
a8b8
h3h4
b8a8
a1a2
a8b8
h4h5
b8a8
e5g6
h7g6
h1h2
d5f6
h5g6
h8h2
d1e2
h2h1
e2f1
h1f1
e1f1
f7g6
b2b3
d6e4
g3g4
e4d2
f1g2
f6g4
c2c3
d2b3
a2d2
b3d2
f2f3
g4e5
g2g3
d2f3
a3b5
e8f7
c3c4
f3d2
b5c7
d8c7
g3h4
f7g8
h4g5
d2f3
g5f4
c7c4
f4g3
c4c2
g3h3
c2d2
h3g3
f3g5
g3h4
d2d3
h4g5
d3f3
g5h4
f3f2
h4h3
f2g1
h3h4
g1h2
h4g5
h2h6
