b2b4
e7e5
a2a4
f8b4
f2f4
e5f4
g1f3
b8c6
a1a3
b4a3
d2d3
a3b4
b1d2
g8f6
f3h4
f6d5
c1a3
d8h4
g2g3
f4g3
a3b2
g3h2
