h2h4
b8c6
e2e4
g8f6
g1f3
f6e4
f3d4
e4d2
f1e2
c6d4
b2b3
d4c2
d1c2
d2b1
h4h5
b1c3
c1e3
c3e4
e3d2
e7e6
b3b4
d8g5
d2g5
e4f2
c2c1
f2e4
g5d2
h7h6
d2h6
h8h6
c1c7
e4f6
c7d6
f8d6
e2b5
f6h7
e1f1
h6h5
b5a4
d6b4
h1h2
h7f6
g2g3
b4d6
h2h3
f6e4
a4c6
d6g3
f1g2
g3e5
g2g1
d7c6
a1d1
h5h3
d1d3
c8d7
a2a4
h3h1
g1h1
e5d4
d3a3
e8c8
a3g3
e4g3
h1h2
g3e4
h2g2
c8c7
g2f3
c7b8
f3f4
d8f8
a4a5
d4c5
f4g4
b8a8
g4f4
f7f5
f4f3
c5d6
f3g2
f5f4
g2f3
e4c5
f3f2
c5e4
f2e2
e4f6
e2f3
d6c5
f3g2
f6e4
g2h1
c5d6
a5a6
f8f6
h1g1
e4c5
g1h1
c5e4
h1h2
f6f7
h2h1
e4g5
a6b7
a8b7
h1g1
d6b8
g1h1
b7c8
h1g1
g5h7
g1f1
a7a6
f1f2
d7e8
f2e2
c8c7
e2f3
c7d6
f3f2
d6c7
f2e2
c7b6
e2f3
f7e7
f3g4
f4f3
g4h3
e7a7
h3h4
b6a5
h4g4
a5b5
g4h3
b5b4
h3h4
b4a3
h4g4
a3b3
g4h3
b3b4
h3h4
b4a3
h4g4
b8h2
g4h4
a3b4
h4g4
h7g5
g4h4
c6c5
h4g4
g5e4
g4h3
h2d6
h3h4
b4b5
h4g4
e4g3
g4h4
g7g5
h4g4
e8f7
g4g5
g3e4
g5h6
f7e8
