g1h3
c7c6
b1c3
g8h6
h3f4
d7d5
f4d3
d5d4
c3e4
b7b6
c2c3
a7a5
c3d4
f7f5
e4c3
h6f7
e2e3
g7g5
f1e2
f7h6
e1g1
e7e6
d3e5
h6f7
e2h5
a8a7
h5f7
a7f7
d1h5
d8d6
h5f7
e8d8
f7f6
d8e8
f6h8
d6c5
d4c5
c8b7
h8h7
b7a6
h7f7
e8d8
f7f8
d8c7
f8e7
b8d7
e7d7
c7b8
e5c6
b8a8
d7a7
