b1c3
b8c6
g2g4
c6e5
c3b5
g8f6
b5d4
f6g4
d4b5
g4f2
a2a3
f2d1
e2e4
d1b2
f1g2
b2d3
e1f1
d3f4
c1b2
f4g2
c2c3
g2e3
d2e3
e5c4
a1e1
c4d2
f1g2
d2e4
e1c1
e4c3
g2f2
c3e4
f2g2
e4g5
g1f3
g5f3
c1c7
f3h4
g2f2
h4f5
c7d7
c8d7
a3a4
f5e3
h1g1
e3g4
g1g4
d8b6
b2d4
b6c6
g4g3
c6c2
f2f3
d7c6
f3f4
c2d2
f4g4
d2e2
g4g5
e2h2
d4e5
h2d2
g5h5
d2h2
g3h3
h2e5
h5h4
e5e4
h4h5
e4e5
h5h4
e5e4
h4g5
e4e5
g5g4
e5e6
g4g5
e6e5
g5g4
e5e6
g4g5
e6e5
