g1f3
b8a6
b1c3
d7d6
e2e4
c7c6
d2d4
g7g5
c1g5
h7h5
e4e5
c8d7
e5d6
d8b6
c3a4
c6c5
a4b6
d7a4
b6a8
a4c2
f1b5
e8d8
d1c2
c5d4
f3d4
a6c7
c2c7
