g2g4
b8c6
b1c3
a8b8
g4g5
b8a8
c3e4
a7a6
g5g6
h7h5
e2e3
a8b8
f2f4
b7b5
f1c4
c6b4
c2c3
h8h7
b2b3
g8f6
c1a3
b4c6
g1e2
f6g4
e4f6
