Rank, Name, Score
1, bbd, 160
2, chess-engine, 154
3, magnuscarlsenmogger, 137
4, john-chess, 134
5, botty-fischer, 133
6, pawnstar, 123
6, lmc-ai, 123
8, logic-and-proofs, 115
9, sheriff-ai, 112
10, ichesshbot, 104
11, chessmates, 101
12, stonkfish, 99
13, o-of-yes, 93
14, chess-king, 87
15, omega-knight, 70
16, chess-engine3, 64
17, chess_project_pelm, 61
18, rookX, 60
19, en-passant, 43
20, matex, 41
21, crucificad, 40
22, chess_engine2, 36
23, chessgambit, 33
24, caissa, 30
25, chess-engine2, 25
26, chessproj, 18
27, chesster, 3
27, chess-project, 3
