g1h3
g8f6
b1c3
e7e5
e2e4
f8b4
c3d5
f6d5
d1g4
d5f6
f1a6
f6g4
e1d1
b8a6
a2a4
e8g8
a1a2
d7d5
a4a5
d5e4
c2c4
d8d3
b2b3
g4e3
f2e3
c8g4
d1e1
d3e2
