b1a3
c7c5
c2c4
d8b6
h2h4
b6a6
g1h3
d7d6
d2d4
a6a5
b2b4
c5b4
d1a4
a5a4
a1b1
b4a3
c1d2
a4c2
d4d5
c2b1
d2c1
b1c1
