c2c3
c7c6
d2d4
g8h6
h2h3
d8b6
g1f3
b6b2
d1c2
b2c1
c2c1
h6g8
f3e5
b7b5
c1c2
d7d5
h3h4
b8a6
g2g3
g7g5
c2h7
g5h4
h1h2
h4g3
h2h6
h8h7
h6c6
g3f2
e1f2
e7e6
e5c4
d5c4
f1g2
a6b8
f2f1
b8c6
f1g1
c6d4
e2e4
c8d7
g2h1
h7h1
g1g2
h1b1
e4e5
b1a1
a2a4
b5a4
g2f2
f8b4
f2g3
b4c3
g3h2
g8f6
h2h3
a8b8
h3g3
f6h5
g3g4
b8c8
g4h5
c8c6
h5g5
e8e7
g5h5
c6c8
h5g5
d7b5
g5h4
e7f8
h4g4
f7f6
g4h5
f6e5
h5h6
b5d7
h6h7
c3b4
h7h8
d4c6
h8h7
b4e7
h7h8
a1d1
h8h7
d1h1
h7g6
c8c7
