g1h3
e7e6
b1c3
g8f6
e2e3
f8b4
f1e2
b8c6
h3f4
e8e7
f4d3
d8e8
d3b4
c6b4
e1g1
e7f8
e2f3
f8g8
f1e1
d7d5
e3e4
d5d4
e4e5
d4c3
d2c3
b4a2
e5f6
a2c3
b2c3
g7f6
f3b7
c8b7
d1g4
g8f8
c1a3
e8e7
a3e7
f8e7
g4b4
e7d7
b4b7
h8d8
e1d1
d7e8
d1d8
a8d8
b7c7
d8d7
c7b8
d7d8
b8a7
e8f8
a7c5
f8g7
c5e7
d8d2
a1c1
e6e5
c3c4
d2d4
c4c5
d4c4
c2c3
e5e4
e7d6
e4e3
f2e3
c4e4
c5c6
e4e8
d6d7
e8e4
c3c4
g7f8
c6c7
e4e8
c1b1
f6f5
b1b7
e8e3
c7c8q
f8g7
d7f7
g7h6
f7h7
h6g5
c8f5
