b1a3
b8c6
c2c4
g8f6
e2e3
e7e5
d1f3
f8a3
f3h3
a3c5
h3h4
h7h6
e3e4
c6d4
h4h3
d4c2
e1d1
c2a1
f1d3
d7d6
h3e3
c5e3
d2e3
f6d7
h2h4
d7c5
h1h3
c8h3
d3e2
h3g2
e2f3
g2f3
g1e2
d8h4
a2a4
h4f2
b2b3
f2e2
