b2b4
b8c6
e2e4
c6b4
g1f3
g8f6
g2g3
f6e4
a2a3
b4d5
h1g1
d5f6
f1h3
f6d5
d2d3
e4c5
h3f1
d5f6
f3g5
h7h6
g3g4
h6g5
c1g5
f6d5
c2c3
h8h2
f1e2
c5e6
e1f1
e6g5
c3c4
d5f4
a1a2
g5h3
d1d2
h2f2
f1e1
f2e2
e1f1
e2d2
g1h1
d2d1
