Rank, Name, Score
1, bbd, 102
2, pawnstar, 93
2, logic-and-proofs, 93
4, magnuscarlsenmogger, 73
5, john-chess, 68
5, botty-fischer, 68
5, chess_project_pelm, 68
8, sheriff-ai, 57
9, ichesshbot, 55
10, crucificad, 53
11, lmc-ai, 42
12, rookX, 36
13, chesster, 24
13, chessmates, 24
13, chess-king, 24
16, chessgambit, 9
16, omega-knight, 9
18, caissa, 6
