d2d4
g8f6
b1c3
e7e6
e2e4
f8b4
a2a3
b4c3
b2c3
e8g8
f2f3
d7d5
e4e5
f6d7
g1h3
f7f6
e5f6
d7f6
f1e2
b8c6
h3f4
d8e8
e1g1
e6e5
d4e5
e8e5
c1d2
e5e7
h2h3
c8d7
a1b1
a8e8
f1e1
b7b6
b1b5
e7a3
f4d5
f6d5
b5d5
d7e6
d5h5
g7g6
h5g5
e6f5
e2c4
g8g7
e1e8
f8e8
c4b3
a3d6
c3c4
d6d4
g1f1
a7a5
g2g4
h7h6
g5f5
g6f5
d1c1
a5a4
b3a2
d4f6
f3f4
f6d4
g4f5
e8e4
c4c5
d4c5
c1b2
c6d4
f5f6
g7f6
c2c4
c5h5
b2c3
h5d1
d2e1
e4f4
f1g1
f4e4
g1f2
a4a3
a2b3
d1b3
c3b3
d4b3
e1c3
f6f5
c4c5
b3c5
f2g2
a3a2
g2f1
b6b5
f1g2
b5b4
c3a1
c5b3
a1g7
b3d4
g7d4
e4d4
h3h4
a2a1q
h4h5
a1c3
g2f1
c3c2
f1e1
d4d1
