b1c3
c7c6
a2a3
c6c5
d2d3
c5c4
h2h4
c4d3
c3e4
d3e2
d1d4
e2f1q
e1f1
a7a6
d4e5
a6a5
e5f5
a5a4
f5f7
e8f7
e4c5
d7d6
g1e2
d6c5
f1g1
c5c4
c1e3
d8d1
a1d1
c8g4
e2f4
g4d1
f4h5
d1h5
e3a7
a8a7
b2b3
a4b3
f2f3
b3c2
g1f1
c2c1q
f1f2
c1h1
f2g3
a7a3
g3f4
h5f3
f4g5
h1g2
g5f5
b7b6
f5e5
b6b5
e5f5
b5b4
f5e5
c4c3
e5f5
c3c2
h4h5
f3h5
f5e5
c2c1q
e5f5
e7e6
f5e5
b4b3
e5d4
b3b2
d4e5
b2b1q
e5d4
e6e5
d4e5
g7g6
e5d4
g6g5
d4e5
g5g4
e5d4
g4g3
d4e5
b8c6
