a2a4
f7f6
a4a5
b8c6
h2h4
d7d5
e2e4
d5e4
g1h3
c6a5
b2b3
a5b3
d2d3
b3a1
g2g3
e4d3
c1g5
a1c2
d1c2
d3c2
f1e2
c2b1q
g5c1
b1c1
e2d1
c1d1
