e2e4
b8c6
g1f3
g8f6
e4e5
f6e4
d2d3
e4c5
d3d4
c5e4
d4d5
c6b4
a2a3
b4d5
d1d5
e4f2
e1f2
d7d6
b1c3
e7e6
d5b5
e8e7
c1g5
f7f6
e5f6
g7f6
g5f6
e7f6
b5g5
f6f7
g5d8
f7g8
c3b5
d6d5
b5c7
a8b8
d8g5
g8f7
f3e5
