e2e4
a7a6
f1d3
c7c6
g1f3
b7b6
e1g1
e7e5
f3e5
d8h4
d3c4
h4f2
f1f2
b6b5
c4f7
e8d8
f7h5
c6c5
f2f8
d8e7
f8e8
e7f6
d1f1
f6g5
f1f5
g5h4
e5f3
