f2f4
g8f6
g1f3
b8c6
d2d3
d7d5
g2g4
c8g4
f1g2
g4f3
c1e3
f3g2
b1c3
g2h1
d1d2
d5d4
e1d1
d4c3
h2h4
c3d2
a1c1
d2c1q
e3c1
d8d4
e2e4
d4f2
b2b4
h1f3
