g1h3
e7e5
b1c3
d7d5
c3a4
b8c6
a1b1
d5d4
b2b3
d8h4
h3g1
h4f4
c2c3
c8f5
b1a1
d4c3
a4c3
g8f6
c1b2
e8c8
e2e3
f4b4
g1e2
f5d3
e2g3
d3f1
e1f1
f6g4
a2a3
g4f2
f1f2
b4h4
d1c1
c8b8
b3b4
f8d6
f2g1
h4c4
a1b1
c4d3
g3e4
d6e7
b1a1
f7f5
e4g3
f5f4
g3e4
f4e3
d2e3
h8f8
e4f2
d3f5
f2e4
e7d6
c1e1
d6e7
b4b5
f5f1
e1f1
f8f1
g1f1
c6a5
f1f2
a5c4
b2c1
d8e8
c3d5
c4b6
d5b6
a7b6
c1b2
e7c5
e4c5
b6c5
a1c1
e8e6
c1c5
e6f6
f2e1
b7b6
c5e5
b8b7
e5e7
f6f5
b2e5
b7c8
h1f1
g7g6
f1f5
g6f5
e5c7
h7h5
c7b6
h5h4
e7f7
c8b8
b6a7
b8a8
b5b6
f5f4
f7f4
h4h3
g2h3
a8b7
f4f1
b7a6
h3h4
a6b7
f1h1
b7a6
h4h5
a6b5
b6b7
b5a4
b7b8q
a4a3
h5h6
a3a2
h6h7
a2a1
h7h8q
a1a2
b8b2
