f2f4
a7a6
g1h3
a6a5
c2c3
a5a4
d1c2
a4a3
c2e4
a3b2
e4a4
b2a1q
h3g1
a1a2
g2g3
a2a3
a4a5
a3a4
a5a6
a4a5
a6d3
a5a6
g1f3
a6a7
e2e3
a7a6
d3g6
a6a7
f1a6
a7a6
b1a3
a6a7
g6c6
a7a6
f4f5
a6a7
c6h6
a7a6
h6h4
a6a7
h4b4
a7a6
b4h4
a6a7
h4a4
a7a6
e1d1
a6a7
f3e1
a7a6
a4c4
a6a7
c4b4
a7a6
b4g4
a6a7
g4g6
a7a6
c3c4
a6a7
g6c6
a7a6
c6g6
a6a7
g6d6
a7a6
c4c5
a6a7
e1d3
a7a6
a3b5
a6a7
d6f6
a7a6
c5c6
a6a7
h2h3
a7a6
f6g7
a6a7
c6d7
b8d7
d3f4
a7a6
g7g8
a6a7
h3h4
a7a6
c1a3
a6a7
g3g4
a7a6
b5a7
a6a7
d1e2
a7a6
e2f2
a6a7
f4h5
a7a6
f2g1
a6a7
g8f7
e8f7
h5f4
a7a6
f4e6
a6a7
h1h2
a7a6
e6g5
f7f6
h2e2
a6a7
g1h2
f6g7
d2d3
a7a6
a3c1
a6a7
h2h1
a7a6
g5h3
a6a7
h3g1
a7a6
e2e1
a6a7
e1d1
a7a6
c1a3
a6a7
h1h2
a7a6
e3e4
a6a7
g4g5
a7a6
d1b1
a6a7
e4e5
a7a6
b1b6
a6a7
a3c1
a7a6
b6c6
a6a7
e5e6
a7a6
h2g2
a6a7
g2h3
a7a6
c1a3
a6a7
a3d6
a7a6
c6c5
a6a7
h3g3
a7a6
f5f6
d7f6
h4h5
a6a7
g3f4
f6g8
c5e5
a7a6
e5e2
a6a7
h5h6
g7g6
f4e4
g6g5
e2d2
g5g6
d6g3
g6g5
g3d6
g5g6
d6h2
g6g5
d2f2
g5g6
h2g3
g6g5
f2f5
g5g6
f5f6
g6g5
g3d6
g5g4
f6f4
g4g5
e4e5
g5g6
f4a4
g6g5
g1h3
g5g6
a4a1
g6h6
a1a5
h6h5
a5a3
h5h6
a3a7
h6h5
e5e4
h5h6
a7a1
h6h5
e4d4
h5h6
a1b1
h6h5
b1f1
h5h6
h3f2
h6h5
f1d1
h5h6
d1e1
h6h5
e1a1
h5h6
f2h3
h6h5
a1a2
h5h6
a2b2
h6h5
h3g5
h5h6
g5e4
h6h5
e4c5
h5h6
c5d7
h6h5
d4e4
h5h6
e4e5
h6h5
e5f4
h5h6
d6a3
h6h5
b2a2
h5h6
d7f8
h6h5
a2a1
h5h6
f8h7
h6h7
a1a2
b7b6
a3b2
b6b5
b2g7
b5b4
a2g2
b4b3
f4g5
b3b2
g2f2
b2b1q
f2e2
b1b2
e2h2
b2h2
g7d4
h2h3
d4h8
h3h4
g5f5
h4h5
f5f4
h5h6
f4f3
h6h5
f3e4
h5h6
d3d4
h6h5
e4e3
h5h6
e3e2
h6h5
e2e3
h5h6
e3e2
h6h5
e2d3
h5h6
d3e2
