g2g3
a7a6
g1h3
a6a5
c2c4
a5a4
h1g1
a4a3
b2b3
b7b6
f1g2
b6b5
g2e4
b5b4
d2d4
c7c6
e4d3
c6c5
c1h6
d7d6
e2e3
d6d5
d3g6
e7e6
g6h7
e6e5
g1h1
e5e4
e1e2
f7f6
h6g7
f6f5
b1c3
f5f4
d1c2
f4f3
e2d2
b4c3
d2c3
c5d4
g7d4
d5c4
c2b2
a3b2
a1f1
b2b1q
h3f4
c4b3
a2a4
b3b2
f4g6
b8a6
h2h4
a6b4
d4b6
b4a2
c3b3
a2c1
f1c1
b2c1q
