g1f3
c7c6
f3g5
b8a6
b1c3
b7b6
e2e4
e7e6
g5f3
f8b4
d1e2
h7h6
e2c4
b4a3
b2a3
d8g5
f3g5
e8d8
g5f7
d8e7
f7h8
e7f8
h8g6
f8e8
c4d4
d7d5
d4g7
c6c5
c3b5
a6b4
g7f8
e8d7
g6e5
