b1c3
g8f6
g1f3
d7d5
d2d4
b8c6
f3e5
e7e6
e5c6
b7c6
e2e3
f8d6
f1d3
e8g8
e1g1
e6e5
d4e5
d6e5
c1d2
a8b8
a1b1
c8g4
f2f3
g4h5
g2g4
d5d4
g4h5
d4c3
b2c3
b8b1
d1b1
f6h5
f3f4
e5d6
b1b7
d8d7
b7a7
d7g4
g1h1
g4h3
f1f2
h5f6
e3e4
f6d7
f2g2
f8b8
a7g1
h3f3
e4e5
d6e7
c3c4
d7c5
d3e2
f3e4
d2e3
b8b2
f4f5
b2c2
g1d1
e4f5
e2g4
f5e4
d1c2
e4e3
g2e2
e3f4
h2h3
f4f1
h1h2
e7g5
h2g3
g5f4
g3h4
f1g1
c2c3
c5e4
c3e3
f4e3
e5e6
g1g3
h4h5
g7g6
