g1h3
e7e5
a2a4
h7h5
a1a3
b7b6
g2g3
f8e7
d2d3
f7f6
e1d2
e5e4
d2e3
h5h4
b2b3
d7d5
a3a1
e7f8
f2f3
b8d7
c2c3
c7c5
d3e4
f8e7
d1d3
b6b5
f1g2
c5c4
h1f1
d7b6
d3d5
c8g4
e3f4
h8h6
d5f5
g4f3
f1g1
f3g2
a4b5
g2h1
g1h1
b6d5
f5d5
f6f5
b1a3
a7a5
d5g8
e7f8
h1d1
h6h5
d1d2
a5a4
e2e3
d8d3
d2b2
g7g5
f4f3
a8a6
h3f2
a6f6
b3c4
d3d1
f2d1
f6g6
g8h8
h5h7
b2a2
h7g7
a3c2
g7a7
h8f8
e8f8
c2b4
g5g4
f3f2
f8f7
b4d3
g6e6
f2e2
f5e4
e2f2
e6e7
f2f1
f7g7
a2a4
a7a8
f1f2
e7b7
f2e1
g7h8
e1f2
a8a7
d3b4
b7h7
b4c2
a7f7
f2e2
f7f6
c2e1
f6f4
h2h3
h7h5
e3f4
h5h7
e1f3
h7h5
d1f2
h5h7
c4c5
h7d7
f2e4
g4h3
f3e1
h8g8
e1g2
d7f7
a4a5
f7c7
c3c4
c7d7
a5a3
g8g7
e2e1
g7h7
e1f1
d7b7
e4c3
b7b5
f1g1
h3h2
g1f1
b5a5
c3a4
h7g7
f1e1
g7h6
e1f1
h4g3
a4b2
h2h1q
f1e2
a5c5
a3a6
h6h5
e2f3
h1h4
f3e4
c5c6
b2d3
c6c4
e4e5
c4c8
a6f6
h4g4
c1d2
g4g8
f6h6
h5h6
a1a6
h6h5
g2h4
c8b8
e5d4
g8c4
d4e3
c4c6
h4g2
b8a8
d3e5
c6f3
e3f3
a8g8
a6d6
g8b8
d6b6
b8h8
g2h4
h8b8
e5g6
g3g2
f3g3
b8f8
g3f3
f8f4
f3g2
f4c4
b6b7
c4a4
g6e7
a4d4
h4g6
d4g4
g2f3
g4c4
b7b2
c4c5
b2b8
c5e5
b8b2
e5g5
b2b7
g5g4
d2a5
g4g2
a5e1
g2g1
f3e4
h5h6
e4d5
g1g4
d5e5
h6h5
e5f5
g4d4
f5f6
d4d7
f6g7
d7d1
g7f8
d1d3
b7c7
d3d6
c7d7
d6a6
d7c7
h5h6
g6f4
a6a7
e7c6
a7a5
f4e2
a5a6
c7h7
h6h7
e2c1
a6a3
c6b8
a3h3
e1a5
h3e3
b8d7
h7h8
a5e1
e3a3
c1b3
a3b3
f8f7
b3b6
d7e5
b6b2
e1c3
b2b4
c3d2
b4a4
f7g6
a4h4
d2c1
h4g4
e5g4
h8g8
c1b2
g8f8
b2a3
f8g8
a3b2
g8f8
b2a3
f8g8
a3b2
