g1f3
a7a6
e2e4
c7c6
d2d4
f7f6
b1c3
d8b6
f1e2
a8a7
a1b1
b6c7
e1g1
c7f4
c1f4
b7b6
f4b8
e7e6
b8a7
b6b5
a7b6
f8b4
d4d5
g7g6
d5c6
g8e7
c6c7
e7c6
a2a3
b4a3
b2a3
e6e5
d1d6
g6g5
f3g5
f6f5
e2h5
