d2d3
g8h6
b2b3
d7d6
a2a4
c8f5
g1f3
h6g8
f3e5
g8h6
f2f4
h6g8
e5c4
f5d3
g2g4
d3e2
h2h3
g7g5
c2c3
h7h5
b3b4
c7c5
a4a5
e2g4
c4e3
d6d5
c3c4
d8c7
h3h4
e7e5
b4b5
g5h4
e3d5
g8e7
d5b6
e7g8
b6d7
f8d6
d7b6
g8e7
b6d7
c7d7
b1d2
g4f3
d1a4
d7c8
f1e2
f3g2
d2b1
h4h3
e2d3
e8f8
f4f5
f7f6
d3e4
g2f1
b1d2
c8e6
d2b1
e6f5
e4c2
h3h2
c1a3
f5c8
a3b4
b8c6
a4b3
c6a5
b4a3
a8b8
c2g6
f6f5
b3a4
h8g8
a4d1
b8a8
d1a4
d6c7
a4d1
g8h8
g6h5
f1h3
h5f3
f5f4
f3g2
h3e6
a3b2
e7g6
g2b7
e6h3
b7f3
a8b8
f3a8
h8h6
a8e4
a5c4
e4a8
c8e6
a8d5
e6b6
d5a8
h3f1
a8c6
b6b7
c6d5
a7a5
d5f3
b8c8
f3b7
f1g2
b7e4
c7d8
e4a8
g2h3
a8d5
h3d7
d5f3
d8g5
f3a8
h6h7
a8e4
h7h4
e4f3
c4e3
f3a8
d7g4
a8e4
e3c2
d1c2
f8g7
e4f3
g4h5
f3g2
g6h8
g2b7
c8a8
b7e4
g7f8
e4f3
h5e8
f3g2
a5a4
g2a8
e8f7
a8f3
f7b3
f3e2
h8f7
e2d1
h4h7
c2b3
c5c4
b3a2
f7d6
a2c4
f4f3
c4d3
g5d2
d3d2
d6f5
d2h6
f8f7
h6e3
f7f6
e3g1
f5g7
b2a3
h7h5
a3b2
h5g5
b2c1
g5g6
g1b6
f6f5
b6e3
g7e8
e3f2
g6h6
f2c5
f5e6
c5f2
h6h4
f2c5
e8g7
c5f2
h4h3
f2c5
f3f2
c5f2
g7f5
f2c5
f5d4
c5a7
h3h7
a7b6
e6f5
b6a7
h7h8
a7b6
h8g8
b6a7
e5e4
a7b6
d4b5
b6e3
g8g3
e3f2
f5e5
f2e3
g3g5
e3f2
b5d6
f2e3
e5f5
e3f2
f5g6
f2e3
g6f7
e3f2
f7g6
f2e3
d6e8
e3g5
g6h7
a1a4
e8d6
a4e4
d6c8
h1h2
