g2g3
g8f6
d2d3
b8c6
f1g2
f6g4
g1f3
g4e5
c1d2
e5f3
e2f3
c6e5
h1g1
e5g6
d3d4
a8b8
g2h3
f7f6
f3f4
d7d6
c2c3
c8h3
b1a3
h3d7
d2e3
b8a8
b2b4
d7f5
a1c1
e8d7
d1h5
f5d3
d4d5
d7c8
a3b1
d3c4
c1c2
c8b8
h5h7
h8h7
e3a7
a8a7
a2a4
h7h2
b1a3
c4d5
f4f5
a7a4
c2b2
a4a3
b2e2
a3a1
e1d2
a1g1
d2d3
g6e5
e2e5
f6e5
d3e3
g1g2
e3d3
g2f2
c3c4
f2f3
