c2c3
e7e5
e2e4
g8f6
g1f3
f6e4
d2d4
e5d4
h2h4
d4c3
f1c4
c3b2
d1d5
b2c1q
d5d1
c1c4
h1h3
d8e7
d1d3
c4c1
d3d1
e4g3
f3e5
e7e5
