a2a3
b7b5
b2b3
a7a6
c2c3
c7c5
d2d3
g8h6
e2e3
f7f6
f2f3
c8b7
g2g3
b8c6
h2h3
g7g5
a3a4
d8c8
b3b4
h6g8
c3c4
h7h6
d3d4
a8b8
e3e4
c8d8
f3f4
d8c8
g3g4
h8h7
h3h4
g5h4
a4a5
f8g7
d4d5
d7d6
e4e5
f6f5
g4g5
g7f6
e5e6
e8f8
g5g6
f6g7
