d2d4
g8f6
c1h6
g7h6
g2g3
d7d5
f2f3
b8c6
d1c1
c6d4
e2e3
d4c6
h2h4
e7e5
a2a3
f8d6
h4h5
e5e4
h1h4
d6g3
e1d1
g3h4
f1b5
h8g8
b5c6
b7c6
g1e2
e4f3
b2b3
f3e2
d1d2
f6e4
d2e2
g8g2
e2d3
h4f6
c2c4
e4c5
