b1a3
g8f6
g2g3
b8c6
e2e4
f6e4
d1e2
e4d6
e2d1
c6e5
d2d3
b7b5
d1h5
c8b7
h5f7
d6f7
c2c4
b7h1
d3d4
e5c4
f1d3
c4a3
g1h3
a3c4
d3f5
f7d6
e1d1
d6f5
a1b1
f5d4
h3g5
h7h6
f2f4
h6g5
c1d2
h1e4
d2c1
e4b1
f4f5
b1a2
c1e3
c4e3
d1e1
h8h2
f5f6
d4c2
