g1f3
g8f6
b1c3
b8c6
e2e3
f6g4
c3e4
g4e5
f1b5
e5f3
d1f3
c6b4
e4g5
f7f6
f3h5
g7g6
b5d7
d8d7
h5d1
d7f5
g5f7
b4c2
e1e2
e8f7
a1b1
f5g4
f2f3
g4g2
e2d3
c2b4
d3d4
b4a2
h1g1
g2h2
g1h1
h2d6
d4c4
c8e6
c4b5
d6b4
