b2b3
b8c6
e2e3
e7e6
h2h3
d8f6
c2c3
g8h6
f1c4
f8d6
d1e2
f6g6
g2g3
g6e4
a2a3
c6e5
c4d3
e5d3
e1f1
h6f5
c1b2
d3f2
b3b4
f5g3
f1e1
g3e2
e1f1
f2d3
b4b5
e2g3
