Rank, Name, Score
1, bbd, 162
2, magnuscarlsenmogger, 149
3, botty-fischer, 144
4, logic-and-proofs, 141
5, pawnstar, 140
6, john-chess, 132
7, lmc-ai, 121
8, chess-engine, 117
9, chesster, 112
10, chess_project_pelm, 104
11, chess-project, 93
12, omega-knight, 88
13, rookX, 79
14, en-passant, 69
15, chessproj, 67
15, stonkfish, 67
17, chess-king, 65
18, chessgambit, 59
19, o-of-yes, 57
20, caissa, 54
21, matex, 49
22, chessmates, 46
23, sheriff-ai, 44
24, chess_engine2, 21
24, chess-engine2, 21
26, ichesshbot, 15
27, crucificad, 3
27, chess-engine3, 3
