b1c3
e7e5
g1f3
g8f6
f3e5
d7d6
e5f7
e8f7
g2g3
f7g8
h2h4
b8c6
h1h2
d6d5
c3d5
d8d5
f2f3
f8d6
f3f4
c8f5
e1f2
f6g4
f2g1
d6c5
e2e3
c5e3
d2e3
d5d1
h2h3
d1e1
h3h2
g4h2
g1h2
e1f1
b2b4
f1f2
h2h1
f5e4
