Rank, Name, Score
1, bbd, 162
2, magnuscarlsenmogger, 147
2, logic-and-proofs, 147
4, botty-fischer, 145
5, pawnstar, 142
6, john-chess, 133
7, chess-engine, 117
8, lmc-ai, 114
8, ichesshbot, 114
10, chesster, 106
11, rookX, 97
12, chess-project, 88
13, crucificad, 80
14, sheriff-ai, 79
15, chessproj, 67
16, chess-king, 63
17, en-passant, 62
17, chessgambit, 62
19, stonkfish, 61
20, matex, 56
21, caissa, 55
22, o-of-yes, 45
23, chessmates, 30
24, omega-knight, 21
25, chess-engine3, 12
26, chess_project_pelm, 9
26, chess_engine2, 9
26, chess-engine2, 9
