f2f3
f7f6
a2a3
e7e6
g2g3
f8c5
e2e4
g7g6
f1d3
b7b6
a3a4
c8b7
f3f4
h7h6
g1f3
b7c6
d1e2
h6h5
e1f1
d8c8
f1e1
a7a6
f3g5
f6g5
d3a6
b8a6
e2f2
c5f2
e1f1
c6e4
d2d4
f2d4
b2b4
d4a1
f1f2
e4h1
f2e2
g5f4
e2f1
f4g3
c1d2
g3h2
f1e1
h1d5
b4b5
h2h1q
e1e2
h1h2
e2d3
a6c5
d3e3
g8h6
b1a3
h6g4
